timestamp,location,temperature,humidity,pressure,wind_speed,wind_direction,precipitation
2024-01-15 08:00:00,北京,2.5,35.0,1013.25,3.2,北风,0.0
2024-01-15 09:00:00,北京,4.2,32.0,1013.50,2.8,北偏东,0.0
2024-01-15 10:00:00,北京,6.8,28.0,1013.75,2.5,东风,0.0
2024-01-15 11:00:00,北京,8.5,25.0,1014.00,2.0,东南风,0.0
2024-01-15 12:00:00,北京,10.2,22.0,1014.10,1.8,南风,0.0
2024-01-15 13:00:00,北京,11.5,20.0,1014.20,2.2,南风,0.0
2024-01-15 14:00:00,北京,12.8,19.0,1014.15,2.5,西南风,0.0
2024-01-15 15:00:00,北京,12.5,21.0,1014.00,2.8,西风,0.0
2024-01-15 16:00:00,北京,11.2,24.0,1013.85,3.2,西北风,0.0
2024-01-15 17:00:00,北京,9.8,27.0,1013.70,3.5,北风,0.0
2024-01-15 08:00:00,上海,5.2,42.0,1012.80,4.5,东风,0.0
2024-01-15 09:00:00,上海,6.8,40.0,1012.90,4.2,东风,0.0
2024-01-15 10:00:00,上海,8.5,38.0,1013.00,3.8,东北风,0.0
2024-01-15 11:00:00,上海,10.2,35.0,1013.10,3.5,北风,0.0
2024-01-15 12:00:00,上海,11.8,32.0,1013.20,3.0,北风,0.0
2024-01-15 13:00:00,上海,13.2,30.0,1013.25,2.8,西北风,0.0
2024-01-15 14:00:00,上海,14.5,28.0,1013.30,3.2,西风,0.0
2024-01-15 15:00:00,上海,14.2,30.0,1013.25,3.5,西南风,0.0
2024-01-15 16:00:00,上海,12.8,32.0,1013.15,3.8,南风,0.0
2024-01-15 17:00:00,上海,11.5,35.0,1013.00,4.2,东南风,0.0
2024-01-15 08:00:00,广州,15.2,55.0,1011.50,2.5,东北风,0.0
2024-01-15 09:00:00,广州,16.8,52.0,1011.60,2.2,东风,0.0
2024-01-15 10:00:00,广州,18.5,48.0,1011.70,2.0,东风,0.0
2024-01-15 11:00:00,广州,20.2,45.0,1011.80,1.8,东南风,0.0
2024-01-15 12:00:00,广州,22.5,42.0,1011.90,2.0,南风,0.0
2024-01-15 13:00:00,广州,24.2,40.0,1012.00,2.2,南风,0.0
2024-01-15 14:00:00,广州,25.8,38.0,1012.05,2.5,西南风,0.0
2024-01-15 15:00:00,广州,25.5,40.0,1012.00,2.8,西风,0.0
2024-01-15 16:00:00,广州,23.8,43.0,1011.95,3.0,西北风,0.0
2024-01-15 17:00:00,广州,22.2,46.0,1011.80,3.2,北风,0.0
